1,51°35.6467,4°46.7650,VVV
2,51°35.5967,4°46.7633,Liefdeszuster
3,51°35.5500,4°46.7817,Nassau Baronie Monument
4,51°35.5500,4°46.7633,
5,51°35.5700,4°46.7083,The Light House
6,51°35.5600,4°46.6750,
7,51°35.4367,4°46.6200,
8,51°35.4367,4°46.5700,Kasteel van Breda
9,51°35.3817,4°46.5683,Stadhouderspoort
10,51°35.4200,4°46.5600,
11,51°35.4233,4°46.5000,
12,51°35.4017,4°46.4617,Huis van Brecht (rechter zijde)
13,51°35.4117,4°46.4067,Spanjaardsgat (rechter zijde)
14,51°35.3900,4°46.4000,Begin Vismarkt
15,51°35.3617,4°46.4667,Begin Havermarkt
16,51°35.3267,4°46.4933,Torenstraat
17,51°35.3300,4°46.5167,Grote Kerk
18,51°35.3230,4°46.4933,
19,51°35.2917,4°46.5083,Het Poortje
20,51°35.2250,4°46.5450,Ridderstraat
21,51°35.2450,4°46.5933,Grote Markt
22,51°35.2817,4°46.5800,Bevrijdingsmonument
23,51°35.3250,4°46.5667,Stadhuis
24,51°35.2783,4°46.5817,
25,51°35.2500,4°46.5933,
26,51°35.2583,4°46.6350,Antonius van Paduakerk
27,51°35.2967,4°46.7100,
28,51°35.2800,4°46.7367,Bibliotheek
29,51°35.2417,4°46.8133,
30,51°35.2633,4°46.8617,Kloosterkazerne
31,51°35.2650,4°46.9200,Chasse theater
32,51°35.2650,4°46.8750,
33,51°35.3167,4°46.8533,Binding van Isaac
34,51°35.3700,4°46.8267,
35,51°35.3800,4°46.8600,Beyerd
36,51°35.3700,4°46.8267,
37,51°35.3733,4°46.8000,Gasthuispoort
38,51°35.3650,4°46.7917,
39,51°35.3417,4°46.7817,
40,51°35.3133,4°46.7000,
41,51°35.3467,4°46.6767,Willem Merkxtuin
42,51°35.3800,4°46.6683,
43,51°35.3817,4°46.7017,Begijnenhof
44,51°35.3800,4°46.6683,
45,51°35.3700,4°46.5750,Einde stadswandeling 
